lon,lat,alt
-122.277080,37.868882,60
-122.278512,37.868805,162
-122.280180,37.868158,268
-122.281515,37.867510,369
-122.282980,37.867262,469
-122.290602,37.863820,570
-122.295625,37.861957,678
-122.305813,37.860468,779
-122.313407,37.863135,882
-122.321173,37.865987,984
-122.326118,37.866635,1090
-122.329103,37.866997,1193
-122.333222,37.867660,1293
-122.341420,37.867810,1399
-122.345688,37.867732,1500
-122.348702,37.867635,1604
-122.349813,37.867772,1704
-122.350328,37.867270,1820
-122.351790,37.865872,1920
-122.352277,37.865808,2023
-122.351747,37.866087,2137
-122.350855,37.866637,2242
-122.348322,37.869045,2360
-122.345787,37.872455,2461
-122.342733,37.876508,2579
-122.340083,37.880040,2683
-122.338200,37.883830,2784
-122.337167,37.888410,2887
-122.334830,37.892805,2989
-122.331433,37.897503,3108
-122.328393,37.902092,3222
-122.325615,37.906233,3326
-122.322477,37.910130,3430
-122.320025,37.914657,3533
-122.318392,37.919407,3637
-122.317273,37.923745,3738
-122.314605,37.928162,3842
-122.310490,37.931755,3945
-122.305050,37.935717,4048
-122.299632,37.939283,4149
-122.293245,37.943725,4271
-122.286532,37.948303,4377
-122.269425,37.960227,4677
-122.265612,37.964732,4789
-122.261823,37.970528,4908
-122.256452,37.976582,5008
